epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,19.125,2.0665274556477864,31.3125,1.9380330753326416,1.9475886392593384,0.0007109744406489319
2,40.458333333333336,1.7497725550333658,51.25,1.4873154067993164,1.5122320556640625,0.0013209876690535374
3,57.875,1.318767900466919,65.6875,1.0674393558502198,1.1084316301345825,0.002255102807717348
4,66.54166666666667,1.0616641664505004,72.6875,0.8614708495140075,0.9136107254028321,0.003399996778829689
5,69.75,0.9596991658210754,70.5625,0.8662618255615234,0.9254650354385376,0.004616775667493809
6,70.04166666666667,0.9491394917170207,70.625,0.8603642630577087,0.9224780511856079,0.00575782477079877
7,72.16666666666667,0.9098877151807149,71.0,0.8251407599449158,0.889948489665985,0.006684716617689352
8,71.08333333333333,0.9172879878679912,74.25,0.7671772527694702,0.8310154294967651,0.007285004430954007
9,72.875,0.8770553143819173,74.5625,0.7591313457489014,0.8244349265098572,0.007485982969512643
10,72.125,0.8814538113276164,74.0625,0.7764255976676941,0.8438655543327331,0.007441983722734729
11,73.20833333333333,0.8469412453969319,75.0625,0.7285219240188598,0.7990190052986145,0.007315360999880829
12,75.33333333333333,0.8293447105089823,74.5625,0.739609398841858,0.807024416923523,0.007108943343341748
13,73.54166666666667,0.8438322178522746,71.75,0.8079335737228394,0.8771975612640381,0.006827341782469659
14,74.58333333333333,0.8461688605944315,75.625,0.7087480139732361,0.7798633241653442,0.006476846830801874
15,74.5,0.8276633310317993,73.0625,0.7774518465995789,0.8481546020507813,0.006065287966383177
16,74.45833333333333,0.8402787629763285,74.9375,0.7561528086662292,0.8244112038612366,0.005601858734164132
17,74.58333333333333,0.8378163520495097,77.3125,0.6910034155845642,0.7600597977638245,0.005096911377398757
18,74.75,0.8094180981318156,77.75,0.6783385586738586,0.7513005781173706,0.004561725585636802
19,76.5,0.785715925693512,77.0,0.6873522329330445,0.7628335666656494,0.004008256525098329
20,74.875,0.8124723045031229,78.0,0.678840160369873,0.7512367224693298,0.003448867780015676
21,76.45833333333333,0.8011119071642557,77.25,0.6902911019325256,0.761705470085144,0.002896055170591915
22,77.08333333333333,0.7671588023503622,77.6875,0.6612610125541687,0.7372167587280274,0.0023621676170262344
23,77.66666666666667,0.7724775727589925,78.3125,0.6610052275657654,0.7359933805465698,0.0018591312850426637
24,77.79166666666667,0.7486317642529805,79.4375,0.6288860988616943,0.7064794516563415,0.0013981831750552042
25,77.66666666666667,0.7374918007850647,79.875,0.6317185020446777,0.7080487322807312,0.0009896201061471487
26,78.16666666666667,0.7268277812004089,79.5,0.6260835433006287,0.7037613606452942,0.0006425687021477574
27,79.45833333333333,0.7071270068486532,79.75,0.6152357840538025,0.6936806464195251,0.0003647815179371933
28,79.91666666666667,0.692678439617157,79.3125,0.6175771069526672,0.6960987472534179,0.0001624638601812177
29,80.83333333333333,0.6825385363896688,79.75,0.6129208874702453,0.69199547290802,4.013517103423275e-05
30,80.83333333333333,0.6807488711675008,79.625,0.6127158617973327,0.6918120288848877,5.280712697090831e-07
