epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,17.708333333333332,2.055195304552714,35.875,1.9023886632919311,1.9231581211090087,0.0011818349103171338
2,45.75,1.6725723679860434,53.125,1.311873950958252,1.4389898729324342,0.0021958445397291283
3,61.083333333333336,1.3546705102920533,66.0,1.0392979383468628,1.2439140748977662,0.0037486006136619524
4,68.20833333333333,1.2192888005574545,72.625,0.8701224803924561,1.101192741394043,0.005651729033351948
5,71.54166666666667,1.16301379998525,72.25,0.8803311228752136,1.1251688766479493,0.007674349941422287
6,70.33333333333333,1.159171118736267,69.0,0.8997320628166199,1.148360047340393,0.009571087134170049
7,71.54166666666667,1.14163094997406,72.125,0.8434662532806396,1.1010454607009887,0.011111836112071099
8,70.45833333333333,1.1403752708435058,70.3125,0.882655324935913,1.1277599382400512,0.012109679428782414
9,72.125,1.1327001810073853,76.9375,0.7758179140090943,1.0239153957366944,0.012443760992778326
10,72.04166666666667,1.1137445910771688,72.5625,0.8576328778266906,1.0998487329483033,0.012370622152762734
11,73.0,1.1085539213816324,75.75,0.7763436794281006,1.0330178594589234,0.012160140388929477
12,73.66666666666667,1.086035753885905,72.0625,0.8480139017105103,1.1049663782119752,0.011817017516071946
13,72.95833333333333,1.0851816717783611,67.8125,0.9307119941711426,1.1737103986740112,0.011348918332176298
14,72.33333333333333,1.1106312370300293,72.875,0.820413191318512,1.0682386255264282,0.010766299399500147
15,74.04166666666667,1.082227250734965,73.4375,0.8165796422958373,1.0744846391677856,0.010082175462250669
16,73.29166666666667,1.0939330259958904,75.1875,0.7813411641120911,1.0436285257339477,0.009311828718705244
17,73.25,1.0892730935414632,69.4375,0.9230736112594604,1.1768216371536255,0.008472467442155003
18,74.04166666666667,1.0920198027292887,76.5625,0.785882773399353,1.0432500314712525,0.007582841576515322
19,75.29166666666667,1.0578714640935263,76.4375,0.7661295318603516,1.0312891292572022,0.006662823893562099
20,73.83333333333333,1.0698661994934082,77.3125,0.7633133172988892,1.0173348903656005,0.005732966068049051
21,75.83333333333333,1.0445251496632895,78.375,0.7279879212379455,0.9867091941833496,0.004814039587254339
22,76.0,1.0264817508061728,77.875,0.7232899355888367,0.9965933752059937,0.003926571750278619
23,75.95833333333333,1.0299088644981385,80.4375,0.7069346332550048,0.979119782447815,0.003090387122103467
24,77.125,1.012153714497884,78.0,0.703442816734314,0.9766279935836792,0.0023241646855688206
25,77.25,1.0035298577944438,79.5,0.6935512948036194,0.9730235528945923,0.0016450205837623953
26,78.91666666666667,0.9821110288302104,80.3125,0.6763464951515198,0.9612009620666504,0.0010681257736667037
27,79.125,0.9721047433217367,80.5625,0.6617947912216187,0.9511709308624268,0.000606367132049304
28,79.875,0.9582538183530172,80.25,0.6621428084373474,0.9523307514190674,0.00027005958393074524
29,81.16666666666667,0.946507343451182,80.875,0.654869773387909,0.9458029174804687,6.671568420450019e-05
30,81.0,0.9407472610473633,80.5,0.6556021285057068,0.9463788986206054,8.777995747752301e-07
