epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,41.666666666666664,1.676268407503764,65.5625,1.0614472103118897,1.1438196277618409,0.0006636612502635393
2,75.125,0.9143525822957357,78.8125,0.6906608128547669,0.8335841941833496,0.0012320051774123058
3,83.16666666666667,0.7332152930895487,81.0,0.5835709309577942,0.7582176876068115,0.002102532798318217
4,81.95833333333333,0.7397854908307393,81.9375,0.594013729095459,0.7547233963012695,0.0031699370167748192
5,83.79166666666667,0.693426151672999,85.3125,0.5036611723899841,0.6840135455131531,0.004305094717070737
6,84.75,0.6779808549086253,75.9375,0.6961872339248657,0.8595538258552551,0.0053706866938369804
7,84.375,0.6858622753620147,85.625,0.5034012413024902,0.6825551509857177,0.006237809056927739
8,85.20833333333333,0.6662691593170166,82.625,0.5622858977317811,0.7331132030487061,0.006801566641709711
9,84.5,0.6781487123171488,82.6875,0.5752649593353272,0.7441409492492675,0.006993790599463031
10,85.41666666666667,0.6494618610541025,84.875,0.529222629070282,0.7157902526855469,0.006953696291512397
11,84.125,0.6617456575234731,83.75,0.5306083416938782,0.7076655125617981,0.006836388046953065
12,84.33333333333333,0.6694578011830647,83.5,0.5311530113220215,0.7111023330688476,0.006644486338122447
13,85.70833333333333,0.6451454448699951,83.5625,0.5334432649612427,0.7176530909538269,0.006382277932087794
14,83.875,0.663881029287974,83.75,0.5316347479820251,0.7066216325759888,0.00605562013135357
15,85.125,0.6556146403153738,83.9375,0.5195347094535827,0.7036678886413574,0.0056718099314024125
16,85.20833333333333,0.6525259880224864,84.625,0.5129944729804993,0.698139934539795,0.0052394210178739655
17,85.83333333333333,0.6422420577208201,84.625,0.5240374779701233,0.7130929899215698,0.004768112244595285
18,85.875,0.6414652665456136,82.625,0.5385813403129578,0.7175451374053955,0.0042684118707471096
19,86.08333333333333,0.6162700700759888,84.0625,0.5164087009429932,0.6994581985473632,0.003751482376951199
20,87.29166666666667,0.6153121300538381,85.6875,0.4995259952545166,0.6808361101150513,0.0032288711138986786
21,86.75,0.6255255345503489,84.875,0.5048370432853698,0.6870243573188781,0.002712252353617026
22,87.58333333333333,0.5935108991463979,85.9375,0.4750951743125916,0.6678473544120789,0.002213166505524129
23,88.41666666666667,0.5868654163678487,85.0625,0.49624521732330323,0.6836189699172973,0.0017427623227518469
24,88.58333333333333,0.5778233941396077,85.4375,0.4782072901725769,0.6745809888839722,0.001311547857423797
25,88.95833333333333,0.5586729943752289,86.25,0.44222939491271973,0.6414374470710754,0.0009291557281349569
26,89.66666666666667,0.5529023838043213,87.5,0.43591354608535765,0.6338751578330993,0.000604127943169664
27,90.625,0.5350594850381215,87.75,0.4244579029083252,0.6270727109909058,0.00034372508615179785
28,91.54166666666667,0.520641043583552,87.625,0.4273299837112427,0.6294531035423279,0.00015376412660436873
29,91.75,0.5147914485136668,88.1875,0.4211155843734741,0.6248447871208191,3.8488478462630215e-05
30,91.91666666666667,0.507786318063736,88.25,0.42174280166625977,0.6255617785453796,4.732092187943123e-07
