epoch,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mode,validation_accuracy_mode
1.0,39.979166666666664,1.523640104049073,64.97916666666667,2.939936932430127,finite-shot multinomial N=6000,exact statevector
2.0,69.97500000000001,1.0115890964220613,74.45833333333333,0.928428331464883,finite-shot multinomial N=6000,exact statevector
3.0,73.52291666666667,1.2610366932277064,75.61458333333333,2.133591699849497,finite-shot multinomial N=6000,exact statevector
4.0,74.80208333333333,0.9736983833131628,76.35416666666667,0.5585509526145906,finite-shot multinomial N=6000,exact statevector
5.0,74.84375,0.9242141932474319,76.42708333333333,0.8536838066091371,finite-shot multinomial N=6000,exact statevector
6.0,75.01458333333335,1.057101481252707,76.94791666666667,0.758716707122406,finite-shot multinomial N=6000,exact statevector
7.0,75.14375,0.8095812961031146,76.9375,1.149728228756692,finite-shot multinomial N=6000,exact statevector
8.0,75.33125000000001,0.7303145726329134,77.27083333333333,1.2258075569463043,finite-shot multinomial N=6000,exact statevector
9.0,75.44375000000001,0.7310843829545245,76.63541666666667,1.830905115418783,finite-shot multinomial N=6000,exact statevector
10.0,75.19375000000001,0.5574915918648444,76.73958333333333,1.1985777161563895,finite-shot multinomial N=6000,exact statevector
11.0,75.12083333333332,0.814196945871619,76.72916666666667,1.0478151872666606,finite-shot multinomial N=6000,exact statevector
12.0,74.85,0.7089164266681923,75.05208333333333,1.453668133263802,finite-shot multinomial N=6000,exact statevector
13.0,74.89166666666667,0.46621257669293575,76.45833333333333,1.3679744758827435,finite-shot multinomial N=6000,exact statevector
14.0,74.79374999999999,0.60429452670035,76.53125,0.864897031443628,finite-shot multinomial N=6000,exact statevector
15.0,74.92291666666667,0.7539652125043089,76.09375,1.2072372902623576,finite-shot multinomial N=6000,exact statevector
16.0,74.65416666666667,0.3367739103117527,75.88541666666667,1.260838428057563,finite-shot multinomial N=6000,exact statevector
17.0,74.53541666666666,0.5762712396664162,75.4375,1.4684175155588413,finite-shot multinomial N=6000,exact statevector
18.0,74.22708333333334,0.7652375720432625,74.125,2.340873234500322,finite-shot multinomial N=6000,exact statevector
19.0,74.44375000000001,0.46534597344341744,75.26041666666667,1.7353929070002179,finite-shot multinomial N=6000,exact statevector
20.0,74.17291666666667,0.2121934062751861,75.71875,2.0420386565880677,finite-shot multinomial N=6000,exact statevector
21.0,74.04583333333333,0.5859643049424297,74.71875,2.06183701465465,finite-shot multinomial N=6000,exact statevector
22.0,73.90624999999999,0.5396613521459568,74.85416666666667,1.657212770487443,finite-shot multinomial N=6000,exact statevector
23.0,74.19583333333334,0.526584909265982,74.66666666666667,2.504267191548591,finite-shot multinomial N=6000,exact statevector
24.0,74.02916666666665,0.20595306908776168,76.15625,0.9558618493276108,finite-shot multinomial N=6000,exact statevector
25.0,74.09791666666668,0.38741262455767467,75.96875,1.3256778926270136,finite-shot multinomial N=6000,exact statevector
26.0,73.89999999999999,0.5052845732851942,75.03125,1.2085308746573253,finite-shot multinomial N=6000,exact statevector
27.0,73.83958333333334,0.3741170160079147,75.65625,0.6670246434727881,finite-shot multinomial N=6000,exact statevector
28.0,74.09791666666666,0.27161745464286285,75.71875,1.4951745299462533,finite-shot multinomial N=6000,exact statevector
29.0,73.8875,0.3076117683054395,75.625,1.3874436925511608,finite-shot multinomial N=6000,exact statevector
30.0,74.00625000000001,0.4792409362731854,74.6875,2.4193232524819828,finite-shot multinomial N=6000,exact statevector
31.0,73.84166666666665,0.5212764781444376,76.22916666666667,1.4730212716273539,finite-shot multinomial N=6000,exact statevector
32.0,73.85833333333335,0.5316052733623582,75.05208333333333,1.2914482342187266,finite-shot multinomial N=6000,exact statevector
33.0,73.80208333333333,0.40182526260386897,75.19791666666667,0.7566545061431054,finite-shot multinomial N=6000,exact statevector
34.0,74.34791666666666,0.560547537383461,75.5,1.7288905402020107,finite-shot multinomial N=6000,exact statevector
35.0,74.13125,0.3142202651007737,75.5625,1.7757040857079764,finite-shot multinomial N=6000,exact statevector
36.0,74.16875,0.51324640768348,74.70833333333333,1.8881483433953663,finite-shot multinomial N=6000,exact statevector
37.0,74.325,0.5086133108757561,75.35416666666667,1.4034926671225136,finite-shot multinomial N=6000,exact statevector
38.0,74.05624999999999,0.4521303738967349,76.52083333333333,1.2640872860157508,finite-shot multinomial N=6000,exact statevector
39.0,74.22708333333333,0.3265747106967519,76.625,1.106091090281447,finite-shot multinomial N=6000,exact statevector
40.0,73.86458333333331,0.25241541487529284,76.0,1.4598801320656434,finite-shot multinomial N=6000,exact statevector
41.0,74.13541666666667,0.30734921777461344,76.36458333333333,0.8753719447564371,finite-shot multinomial N=6000,exact statevector
42.0,74.00625000000001,0.6150076219039866,75.61458333333333,1.4887162394716686,finite-shot multinomial N=6000,exact statevector
43.0,74.35625,0.30256714130916357,75.09375,1.8276308092719382,finite-shot multinomial N=6000,exact statevector
44.0,74.48541666666667,0.5609933526047044,75.35416666666667,0.9958246164193104,finite-shot multinomial N=6000,exact statevector
45.0,74.4875,0.3485685011586683,76.29166666666667,1.839100776647834,finite-shot multinomial N=6000,exact statevector
46.0,74.24583333333332,0.22949219304078045,72.875,6.059986592394409,finite-shot multinomial N=6000,exact statevector
47.0,74.16666666666667,0.6421480878011454,76.04166666666667,1.4735515486967758,finite-shot multinomial N=6000,exact statevector
48.0,74.64583333333333,0.4540557968649535,76.125,1.9783989739180516,finite-shot multinomial N=6000,exact statevector
49.0,74.5875,0.5228527517380014,76.55208333333333,2.225707986611601,finite-shot multinomial N=6000,exact statevector
50.0,74.21458333333334,0.17328024026607197,76.57291666666667,1.4627759711133714,finite-shot multinomial N=6000,exact statevector
51.0,74.72083333333335,0.5539441909314201,76.53125,1.567616622455886,finite-shot multinomial N=6000,exact statevector
52.0,74.66875,0.18092643532662808,75.94791666666667,0.9498492204906349,finite-shot multinomial N=6000,exact statevector
53.0,74.76041666666667,0.3660956728324823,76.86458333333333,0.8518515373389114,finite-shot multinomial N=6000,exact statevector
54.0,74.65625,0.24363779468711438,76.07291666666667,0.37168675207312224,finite-shot multinomial N=6000,exact statevector
55.0,74.71875,0.6000911389114157,76.6875,1.6803087513906483,finite-shot multinomial N=6000,exact statevector
56.0,74.88333333333334,0.4722066990912627,76.0,0.9437293044088437,finite-shot multinomial N=6000,exact statevector
57.0,75.14166666666667,0.3167872577403736,77.125,0.8605957239029253,finite-shot multinomial N=6000,exact statevector
58.0,75.08125,0.5048359882179575,75.85416666666667,1.4326912321455263,finite-shot multinomial N=6000,exact statevector
59.0,75.15208333333334,0.44724271002070376,75.34375,1.6703994656967536,finite-shot multinomial N=6000,exact statevector
60.0,75.24583333333334,0.3835416100850906,75.67708333333333,1.082110688269304,finite-shot multinomial N=6000,exact statevector
61.0,75.41250000000001,0.33288511531758136,76.55208333333333,1.2902377849321678,finite-shot multinomial N=6000,exact statevector
62.0,75.24791666666667,0.6991251974193657,76.01041666666667,2.8617675554920017,finite-shot multinomial N=6000,exact statevector
63.0,75.36666666666666,0.5489573450338983,76.5,0.9778803607803973,finite-shot multinomial N=6000,exact statevector
64.0,75.24999999999999,0.5827735409230583,76.82291666666667,1.3482724285791305,finite-shot multinomial N=6000,exact statevector
65.0,75.59791666666666,0.25549176438129345,76.90625,1.0988275001109138,finite-shot multinomial N=6000,exact statevector
66.0,75.95208333333333,0.6047425416379009,77.10416666666667,1.5444794160708866,finite-shot multinomial N=6000,exact statevector
67.0,76.14791666666667,0.21322181329936052,76.84375,0.67517358879032,finite-shot multinomial N=6000,exact statevector
68.0,75.84375,0.5329604816494379,78.1875,0.8110564098754167,finite-shot multinomial N=6000,exact statevector
69.0,76.19999999999999,0.39496835316263207,77.73958333333333,1.1329004994555643,finite-shot multinomial N=6000,exact statevector
70.0,76.48125,0.43104161632028365,77.32291666666667,1.4850382290253228,finite-shot multinomial N=6000,exact statevector
71.0,76.34375,0.4856535545015623,77.76041666666667,1.643365766245198,finite-shot multinomial N=6000,exact statevector
72.0,76.39583333333333,0.6207690123279865,77.90625,0.7035068407627605,finite-shot multinomial N=6000,exact statevector
73.0,76.60000000000001,0.518230161221824,77.59375,1.210468659239057,finite-shot multinomial N=6000,exact statevector
74.0,76.65833333333335,0.325736345326503,77.98958333333333,1.1815090104043502,finite-shot multinomial N=6000,exact statevector
75.0,77.02291666666666,0.4243684032378769,78.84375,0.6284280985124711,finite-shot multinomial N=6000,exact statevector
76.0,77.00624999999998,0.5405292545274493,78.89583333333333,0.7111463749936906,finite-shot multinomial N=6000,exact statevector
77.0,77.3625,0.2963317397782418,78.90625,0.7507808435222625,finite-shot multinomial N=6000,exact statevector
78.0,77.49166666666666,0.47917028984137455,79.38541666666667,0.7493921147614689,finite-shot multinomial N=6000,exact statevector
79.0,77.52708333333334,0.2404964483452215,79.0625,1.2418484207019793,finite-shot multinomial N=6000,exact statevector
80.0,77.82708333333333,0.1535856167310829,78.90625,0.7518207066847786,finite-shot multinomial N=6000,exact statevector
81.0,78.2,0.14512925273699914,79.35416666666667,0.5938048220304941,finite-shot multinomial N=6000,exact statevector
82.0,78.08333333333333,0.3841115289426579,79.85416666666667,0.95987195326599,finite-shot multinomial N=6000,exact statevector
83.0,78.19166666666666,0.31845983524875926,80.15625,0.9132274497626536,finite-shot multinomial N=6000,exact statevector
84.0,78.68541666666665,0.4989624651881801,80.125,0.5562148865321748,finite-shot multinomial N=6000,exact statevector
85.0,78.76458333333333,0.1340281375930694,81.10416666666667,0.5543389456520863,finite-shot multinomial N=6000,exact statevector
86.0,78.83125,0.2846873284851286,80.33333333333333,0.5831845048238736,finite-shot multinomial N=6000,exact statevector
87.0,79.15833333333335,0.2964020355305746,80.875,0.8366600265340756,finite-shot multinomial N=6000,exact statevector
88.0,79.30416666666667,0.31510580233735386,80.80208333333333,0.36532662326562876,finite-shot multinomial N=6000,exact statevector
89.0,79.57708333333333,0.3671185662244082,80.91666666666667,0.6598610964943051,finite-shot multinomial N=6000,exact statevector
90.0,79.72500000000001,0.4210106887004155,81.14583333333333,0.5627314338711378,finite-shot multinomial N=6000,exact statevector
91.0,79.99999999999999,0.388908729652601,81.4375,1.0023410098364727,finite-shot multinomial N=6000,exact statevector
92.0,80.34166666666667,0.4052519792260935,81.54166666666667,0.4803427595651533,finite-shot multinomial N=6000,exact statevector
93.0,80.28333333333335,0.36130550323329796,81.76041666666667,0.7709740862484723,finite-shot multinomial N=6000,exact statevector
94.0,80.58125,0.24871544986188696,81.89583333333333,0.5209166600010665,finite-shot multinomial N=6000,exact statevector
95.0,80.66458333333334,0.07600027412231107,82.0,0.6136468854316789,finite-shot multinomial N=6000,exact statevector
96.0,80.73125,0.2664289304861623,81.84375,0.5270050995958199,finite-shot multinomial N=6000,exact statevector
97.0,80.75,0.12449899597988738,81.94791666666667,0.5235346613803776,finite-shot multinomial N=6000,exact statevector
98.0,80.92916666666666,0.3080854859721042,81.96875,0.5459366950480614,finite-shot multinomial N=6000,exact statevector
99.0,81.05,0.2130140840414095,81.95833333333333,0.557150488348226,finite-shot multinomial N=6000,exact statevector
100.0,81.175,0.34604912945996713,81.96875,0.5697450087539161,finite-shot multinomial N=6000,exact statevector
