epoch,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mode,validation_accuracy_mode
1.0,64.59583333333333,1.7460610432246273,80.77083333333333,1.5302505241517372,finite-shot multinomial N=6000,exact statevector
2.0,82.93541666666665,0.545344883231399,83.53125,1.669931697705029,finite-shot multinomial N=6000,exact statevector
3.0,84.69166666666668,0.6164751954999196,84.84375,1.0448908435812805,finite-shot multinomial N=6000,exact statevector
4.0,85.70208333333333,0.41256943859993606,85.13541666666667,0.7909810627737346,finite-shot multinomial N=6000,exact statevector
5.0,86.06041666666665,0.45896736448974845,85.04166666666667,1.3078289898402875,finite-shot multinomial N=6000,exact statevector
6.0,86.25833333333334,0.3327599234683566,85.67708333333333,0.6701406879653455,finite-shot multinomial N=6000,exact statevector
7.0,86.35208333333334,0.2514230332858715,85.72916666666667,0.6081049799719344,finite-shot multinomial N=6000,exact statevector
8.0,86.3125,0.3154362059117534,85.02083333333333,0.32755406678389243,finite-shot multinomial N=6000,exact statevector
9.0,86.35624999999999,0.45844506213940106,85.84375,0.8040425206417879,finite-shot multinomial N=6000,exact statevector
10.0,86.15833333333332,0.15343293866268393,85.52083333333333,1.2194175522218247,finite-shot multinomial N=6000,exact statevector
11.0,86.55624999999999,0.25171288207002634,86.125,0.873212459828649,finite-shot multinomial N=6000,exact statevector
12.0,86.60833333333335,0.3196352087406325,86.32291666666667,0.7780350516954019,finite-shot multinomial N=6000,exact statevector
13.0,86.37291666666665,0.3324545708313671,86.35416666666667,0.7274384280931732,finite-shot multinomial N=6000,exact statevector
14.0,86.65625,0.35140343623818143,86.38541666666667,0.5022086634723326,finite-shot multinomial N=6000,exact statevector
15.0,86.62708333333332,0.5184964239670954,86.1875,0.6649718039135193,finite-shot multinomial N=6000,exact statevector
16.0,86.76666666666665,0.40985261578604604,85.97916666666667,0.8548269805444062,finite-shot multinomial N=6000,exact statevector
17.0,86.90416666666665,0.5294257895745809,86.0625,1.059186008215743,finite-shot multinomial N=6000,exact statevector
18.0,86.66875,0.3353869034413844,86.04166666666667,0.7177075774064718,finite-shot multinomial N=6000,exact statevector
19.0,86.57708333333333,0.5686286500578923,85.46875,1.2315830767755782,finite-shot multinomial N=6000,exact statevector
20.0,86.73333333333333,0.63485562663228,86.09375,0.5134898976610932,finite-shot multinomial N=6000,exact statevector
21.0,86.32083333333334,0.35634136255375304,85.84375,1.0388921382896301,finite-shot multinomial N=6000,exact statevector
22.0,86.625,0.3178049716414115,84.75,1.2487493743742177,finite-shot multinomial N=6000,exact statevector
23.0,86.81666666666666,0.4384394675056852,85.8125,1.4502155012273175,finite-shot multinomial N=6000,exact statevector
24.0,86.46875,0.49401100696239364,86.51041666666667,1.3723933625847462,finite-shot multinomial N=6000,exact statevector
25.0,86.72291666666668,0.5218606534954208,86.16666666666667,1.1993922071894025,finite-shot multinomial N=6000,exact statevector
26.0,86.8625,0.4282230727086043,85.60416666666667,0.9614983966011938,finite-shot multinomial N=6000,exact statevector
27.0,86.63958333333333,0.36991693887502153,85.94791666666667,1.0528359519254018,finite-shot multinomial N=6000,exact statevector
28.0,86.75416666666666,0.39152479700099263,86.61458333333333,0.9893311082072911,finite-shot multinomial N=6000,exact statevector
29.0,86.80000000000001,0.3303407331831784,86.13541666666667,1.3070820715114513,finite-shot multinomial N=6000,exact statevector
30.0,86.79166666666667,0.3586142309873757,85.90625,0.7672495519711954,finite-shot multinomial N=6000,exact statevector
31.0,86.88125000000001,0.322950267069094,86.0625,0.9921567416492215,finite-shot multinomial N=6000,exact statevector
32.0,86.91041666666666,0.5198206822228825,86.23958333333333,0.90865342219499,finite-shot multinomial N=6000,exact statevector
33.0,86.70416666666667,0.5156104795935273,86.8125,0.9984362773857929,finite-shot multinomial N=6000,exact statevector
34.0,86.86874999999999,0.24299562753267764,85.63541666666667,1.5649564024811256,finite-shot multinomial N=6000,exact statevector
35.0,86.82291666666667,0.5526310176480019,86.5625,0.9617692030835673,finite-shot multinomial N=6000,exact statevector
36.0,86.96249999999999,0.43853449123187555,86.40625,0.6968119366084367,finite-shot multinomial N=6000,exact statevector
37.0,87.06666666666665,0.27462095088806515,85.22916666666667,1.4107105183795385,finite-shot multinomial N=6000,exact statevector
38.0,86.93333333333334,0.41107075627763656,86.10416666666667,1.1157023199163236,finite-shot multinomial N=6000,exact statevector
39.0,86.93124999999999,0.49007333634875816,86.39583333333333,0.6808389432653414,finite-shot multinomial N=6000,exact statevector
40.0,86.93541666666665,0.26284699288115737,86.35416666666667,1.4777869151764291,finite-shot multinomial N=6000,exact statevector
41.0,86.83750000000002,0.4256612502918231,85.4375,0.9329054078522645,finite-shot multinomial N=6000,exact statevector
42.0,86.84583333333332,0.45474351745424846,86.4375,1.1159357060332822,finite-shot multinomial N=6000,exact statevector
43.0,87.03749999999998,0.3037268509697498,86.15625,0.9558618493276108,finite-shot multinomial N=6000,exact statevector
44.0,87.10625,0.35801099843440803,85.66666666666667,0.8260094833999587,finite-shot multinomial N=6000,exact statevector
45.0,87.11874999999999,0.44397001587945345,85.89583333333333,0.5831845048238736,finite-shot multinomial N=6000,exact statevector
46.0,87.10625,0.4478943792904788,86.72916666666667,0.8465616732800196,finite-shot multinomial N=6000,exact statevector
47.0,87.1125,0.48283019789569653,86.57291666666667,0.7699600909571007,finite-shot multinomial N=6000,exact statevector
48.0,87.24999999999999,0.4851546145302521,85.85416666666667,1.4634434279010127,finite-shot multinomial N=6000,exact statevector
49.0,87.17708333333333,0.5300599415789343,87.11458333333333,1.0196634452929392,finite-shot multinomial N=6000,exact statevector
50.0,87.2,0.32365104665364225,86.73958333333333,0.763847852433105,finite-shot multinomial N=6000,exact statevector
51.0,87.2625,0.4687749993333681,87.11458333333333,0.6255206165001013,finite-shot multinomial N=6000,exact statevector
52.0,87.36666666666666,0.2352746621858553,86.32291666666667,0.8921678887219976,finite-shot multinomial N=6000,exact statevector
53.0,87.24374999999999,0.24363779468711055,85.75,0.6590713163232034,finite-shot multinomial N=6000,exact statevector
54.0,87.44375000000001,0.44107468188504834,86.40625,0.8863108230186518,finite-shot multinomial N=6000,exact statevector
55.0,87.38541666666667,0.4831806511716554,86.27083333333333,1.150860185542391,finite-shot multinomial N=6000,exact statevector
56.0,87.52499999999999,0.5481217930350849,86.38541666666667,0.9580389040465249,finite-shot multinomial N=6000,exact statevector
57.0,87.52708333333334,0.27196239016942314,86.65625,0.4622465521775149,finite-shot multinomial N=6000,exact statevector
58.0,87.69583333333334,0.5728583303633348,86.73958333333333,0.9440741716976833,finite-shot multinomial N=6000,exact statevector
59.0,87.61458333333333,0.3810689460801897,86.94791666666667,0.9995441669414448,finite-shot multinomial N=6000,exact statevector
60.0,87.49375000000002,0.39755109734473215,86.83333333333333,0.6978389260185094,finite-shot multinomial N=6000,exact statevector
61.0,87.53125,0.3232404290926472,86.80208333333333,0.9265330764018448,finite-shot multinomial N=6000,exact statevector
62.0,87.8125,0.4821177242126662,87.02083333333333,1.0221505107696551,finite-shot multinomial N=6000,exact statevector
63.0,87.89375,0.3308842320208084,86.48958333333333,0.7108716773558127,finite-shot multinomial N=6000,exact statevector
64.0,87.89166666666665,0.3807612988036775,87.22916666666667,0.6704320746105952,finite-shot multinomial N=6000,exact statevector
65.0,87.83125,0.24415031230780765,87.20833333333333,0.6967184988692827,finite-shot multinomial N=6000,exact statevector
