epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,44.375,1.4965454880396525,54.3125,1.1662823104858397,1.1958381128311157,0.011025015722958897
2,62.791666666666664,1.0593250362078348,60.5625,1.0073681116104125,1.0465226554870606,0.011025015722958897
3,65.45833333333333,0.9435210784276327,66.0625,0.8776395034790039,0.9249330997467041,0.011025015722958897
4,67.875,0.8835816184679667,68.25,0.8240598058700561,0.8750777459144592,0.011025015722958897
5,68.25,0.8542761667569478,68.3125,0.7975204396247864,0.8535344791412354,0.011025015722958897
6,70.70833333333333,0.8235765846570333,70.875,0.7829242181777955,0.8410043406486511,0.011025015722958897
7,70.45833333333333,0.8124400774637858,73.0,0.7531459379196167,0.8138023924827575,0.011025015722958897
8,70.54166666666667,0.8076169459025065,71.5625,0.7556374430656433,0.8180864262580871,0.011025015722958897
9,71.83333333333333,0.7889739791552226,73.125,0.7484613871574402,0.8131649804115295,0.011025015722958897
10,73.125,0.7794950826962789,74.5,0.7197733783721924,0.7854600763320922,0.011025015722958897
11,72.70833333333333,0.7684511764844258,73.4375,0.7255652403831482,0.7928466558456421,0.011025015722958897
12,72.25,0.7797876715660095,73.625,0.7148576140403747,0.7830467343330383,0.011025015722958897
13,72.91666666666667,0.7708206955591838,73.875,0.7115620160102845,0.7806695747375488,0.011025015722958897
14,73.125,0.7651795236269633,74.125,0.7038717293739318,0.7738610696792603,0.011025015722958897
15,72.70833333333333,0.7585221576690674,72.375,0.7172643375396729,0.788181676864624,0.011025015722958897
16,72.83333333333333,0.752552125453949,75.0625,0.6988227462768555,0.76846839427948,0.011025015722958897
17,73.625,0.7499998195966084,72.5625,0.7514487147331238,0.8227575469017029,0.011025015722958897
18,73.95833333333333,0.7518442050615947,74.5625,0.7113611340522766,0.7818553566932678,0.011025015722958897
19,73.70833333333333,0.7468840980529785,71.4375,0.7701061344146729,0.8408204746246338,0.011025015722958897
20,73.04166666666667,0.7479594230651856,72.625,0.7320419335365296,0.8040738868713379,0.011025015722958897
21,73.375,0.7491215181350708,73.5625,0.7180673599243164,0.7910936713218689,0.011025015722958897
22,73.83333333333333,0.7411535509427388,73.5,0.7078197836875916,0.7803759670257568,0.011025015722958897
23,72.83333333333333,0.7516426253318786,75.375,0.6949007225036621,0.7676679468154908,0.011025015722958897
24,74.0,0.7414265950520833,75.8125,0.6874496960639953,0.7592669177055359,0.011025015722958897
25,74.29166666666667,0.736626120408376,72.1875,0.7563368535041809,0.8292661809921265,0.011025015722958897
26,75.04166666666667,0.730165589650472,72.5625,0.7229268360137939,0.7979578876495361,0.011025015722958897
27,74.375,0.7314210740725199,74.875,0.7009269452095032,0.77473060131073,0.011025015722958897
28,73.91666666666667,0.733595674832662,74.9375,0.692873649597168,0.7686002945899963,0.011025015722958897
29,73.66666666666667,0.7351400907834371,73.625,0.7090580177307129,0.7799445104598999,0.011025015722958897
30,74.41666666666667,0.7290922864278158,75.125,0.6930668711662292,0.7657816243171692,0.011025015722958897
