epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,19.791666666666668,2.053220715522766,35.125,1.9150768280029298,1.9190342617034912,0.00030336517247192465
2,39.041666666666664,1.7100152905782064,51.0625,1.4718030405044555,1.4905271482467652,0.000563651277941779
3,53.291666666666664,1.3066548744837443,54.9375,1.1357373666763306,1.1696863460540772,0.0009622281942803373
4,58.708333333333336,1.0900707960128784,59.4375,0.9979610919952393,1.0429936695098876,0.0014507421789624723
5,64.0,0.9912570897738139,65.125,0.902734534740448,0.9531639456748963,0.001969928687387263
6,65.875,0.9291794737180074,70.0625,0.8262989020347595,0.8809426975250244,0.002456802108191388
7,69.875,0.8696680283546447,68.1875,0.8214204645156861,0.8795429706573487,0.00285229692336102
8,69.75,0.8517576003074646,69.9375,0.8085223150253296,0.8694700264930725,0.0031084332984430995
9,70.75,0.8333215959866842,70.3125,0.7698469471931457,0.8338117790222168,0.0031941886864389696
10,71.79166666666667,0.8196573837598164,70.3125,0.7673011803627015,0.8351731872558594,0.0031754146794926246
11,72.33333333333333,0.7994779300689697,72.5,0.7965786242485047,0.863667345046997,0.003121386120994267
12,73.75,0.7909450888633728,71.6875,0.7458845376968384,0.8158878993988037,0.0030333099196612435
13,71.83333333333333,0.790255606174469,72.75,0.7253375792503357,0.7973351740837097,0.0029131535522897932
14,72.95833333333333,0.7878452603022258,73.125,0.7260777878761292,0.7977231812477111,0.0027636011135745747
15,72.75,0.7854100902875264,70.6875,0.744958803653717,0.8176312685012818,0.0025879933578685185
16,74.08333333333333,0.7734242669741312,72.9375,0.7197812223434448,0.7941116285324097,0.0023902530722510183
17,72.91666666666667,0.7815014306704203,74.5625,0.7145504975318908,0.787761254310608,0.0021747974479467825
18,73.875,0.7726797723770141,72.25,0.7232000660896302,0.7967507028579712,0.0019464394075730668
19,73.75,0.7607187930742899,74.4375,0.6997912836074829,0.7744266080856324,0.0017102800924015166
20,74.25,0.7529664826393128,72.5,0.7071091628074646,0.782668571472168,0.001471594911291543
21,74.875,0.7491282184918722,73.625,0.6991324424743652,0.7751742458343506,0.0012357156967737544
22,75.70833333333333,0.7422279198964437,72.8125,0.707557566165924,0.7832618522644043,0.0010079116007218104
23,74.33333333333333,0.7497442062695822,74.1875,0.6967321085929871,0.7725713229179383,0.0007932713902065725
24,75.375,0.7348018678029379,73.6875,0.6955594754219055,0.7711916542053223,0.0005965897728486821
25,75.08333333333333,0.7376075124740601,74.8125,0.6961864924430847,0.7731511187553406,0.00042226029097332376
26,75.41666666666667,0.7275287135442098,74.3125,0.6888563823699951,0.7654608535766602,0.00027417717713479665
27,75.125,0.7292700433731079,74.3125,0.684750669002533,0.7621011471748352,0.0001556483633962733
28,75.25,0.7214200234413147,75.1875,0.683031325340271,0.7606607913970947,6.932158759370416e-05
29,75.58333333333333,0.7166128571828206,75.1875,0.6808579182624817,0.7581652402877808,1.712524724781539e-05
30,75.54166666666667,0.7171664635340372,75.0,0.680341374874115,0.7576869010925293,2.2532235007849977e-07
