epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,20.458333333333332,2.0685522810618084,44.3125,2.0347990131378175,2.039340448379517,4.750400509152022e-05
2,47.291666666666664,1.9634762382507325,54.0,1.8155343770980834,1.8442091464996337,8.818532074508371e-05
3,63.0,1.680044051806132,69.3125,1.428873496055603,1.5079998970031738,0.00015049655033608667
4,70.875,1.382460076014201,73.0,1.1541083669662475,1.2787490177154541,0.00022689994952224888
5,73.41666666666667,1.2099761644999185,75.0,0.9947240495681763,1.1518741273880004,0.00030815305440538366
6,75.66666666666667,1.1050839964548747,78.0625,0.8812311697006225,1.0633764314651488,0.00038442673569939577
7,78.33333333333333,1.0304150263468423,80.625,0.7973794412612915,1.0020704030990601,0.0004464942213856209
8,80.04166666666667,0.9769104361534119,80.875,0.7373279333114624,0.962295126914978,0.0004868472526455165
9,81.625,0.938542521794637,82.25,0.6939978289604187,0.9352227687835694,0.0005006063923635576
10,82.75,0.9122037625312805,82.75,0.661380546092987,0.9163839244842529,0.0004977364941914532
11,82.91666666666667,0.8959566203753153,83.4375,0.6370341444015503,0.9042100191116333,0.0004893397233319055
12,83.54166666666667,0.8820981589953104,83.9375,0.6187724590301513,0.894681167602539,0.0004756036497706706
13,83.79166666666667,0.8718140339851379,84.0,0.6017733144760132,0.8884968709945679,0.00045683511469292817
14,83.95833333333333,0.8628627951939901,84.25,0.5960509204864501,0.8896255588531494,0.00043345337615824446
15,84.83333333333333,0.8567668080329895,84.5,0.5831162142753601,0.8821713256835938,0.0004059807435683244
16,84.45833333333333,0.853610585530599,84.25,0.5780801653862,0.8799795150756836,0.00037503091013806793
17,84.45833333333333,0.8476738023757935,84.5625,0.5741830778121948,0.8777892923355103,0.00034129524400324695
18,84.70833333333333,0.8461840804417928,84.8125,0.5673982429504395,0.8755728673934936,0.00030552734419880297
19,85.75,0.8414243714014689,84.8125,0.5625457310676575,0.873349461555481,0.0002685262065016922
20,85.375,0.8406711634000142,84.8125,0.5639481091499329,0.8755905437469482,0.0002311183751855285
21,85.0,0.837074712117513,85.25,0.560261857509613,0.8719313859939575,0.0001941394793873346
22,85.79166666666667,0.8343883681297303,85.25,0.5577330899238586,0.8721785020828247,0.00015841556653345613
23,85.33333333333333,0.8342466004689535,85.1875,0.5556359815597535,0.8721205186843872,0.00012474464980505992
24,85.66666666666667,0.8314700150489807,85.5,0.5561259484291077,0.8701907396316528,9.387888184234322e-05
25,85.58333333333333,0.8290030463536581,85.625,0.5543093395233154,0.8702911758422851,6.650775289744704e-05
26,85.91666666666667,0.8272421089808146,85.6875,0.5536670231819153,0.869489221572876,4.324268876157112e-05
27,85.91666666666667,0.8271674601236979,85.75,0.5532780766487122,0.8696714878082276,2.4603392523149863e-05
28,85.625,0.8265074006716411,85.6875,0.5527926421165467,0.8692852115631103,1.1006235259639653e-05
29,86.125,0.8267012667655945,85.6875,0.5526218795776368,0.8691527175903321,2.754954995681329e-06
30,85.95833333333333,0.8243131462732951,85.6875,0.5526488399505616,0.8691751718521118,3.387169754152864e-08
