epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,46.708333333333336,1.5446458435058594,57.125,1.2763624382019043,1.2778800821304321,0.017514002466202928
2,66.0,1.0603665844599406,68.75,0.9422593450546265,0.9435161399841309,0.017371660662249495
3,69.75,0.9143364389737447,61.5625,1.0599197483062743,1.0610013151168822,0.017136157764803442
4,71.54166666666667,0.8691870800654093,71.625,0.8404236173629761,0.8414200711250305,0.016810073992891333
5,73.5,0.8111333378156026,72.625,0.7907753586769104,0.7916993808746338,0.016396981988555662
6,73.33333333333333,0.8047383451461791,71.1875,0.8352987456321717,0.8362123322486877,0.015901407674240982
7,74.16666666666667,0.7776165477434794,74.3125,0.7567175912857056,0.7575759363174438,0.01532878066584052
8,74.125,0.772799817721049,75.25,0.7479424691200256,0.7487633919715881,0.014685374784688216
9,74.75,0.7627317794164021,75.1875,0.7353671908378601,0.7361830854415894,0.013978239320259312
10,75.0,0.7417807340621948,76.125,0.7299607920646668,0.730744686126709,0.013215121796679701
11,75.70833333333333,0.7311994083722433,75.8125,0.7153322005271912,0.716116349697113,0.01240438308923033
12,75.79166666666667,0.7239270305633545,75.4375,0.7135477876663208,0.7142950010299682,0.011554905820847991
13,77.125,0.7049362230300903,75.375,0.7347449278831482,0.7355088686943054,0.010675997042249632
14,76.45833333333333,0.6999929579099019,75.5625,0.7305860710144043,0.731329755783081,0.009777286261937065
15,76.875,0.6897901296615601,76.3125,0.7160307121276855,0.7167419600486755,0.008868619943286712
16,77.33333333333333,0.6807319895426432,75.5,0.7253568410873413,0.7260559463500976,0.007959953624636357
17,77.95833333333333,0.6788281416893005,75.4375,0.7078990793228149,0.7086254954338074,0.007061242844323786
18,78.0,0.6613597003618876,77.125,0.6895108461380005,0.6902162671089173,0.00618233406572543
19,78.0,0.6568017482757569,77.3125,0.6721797776222229,0.6728676962852478,0.005332856797343092
20,78.79166666666667,0.6548866542180379,77.8125,0.6683458137512207,0.6690391993522644,0.00452211808989372
21,78.70833333333333,0.6472414827346802,77.9375,0.6599850463867187,0.660675766468048,0.0037590005663141078
22,78.70833333333333,0.6380166848500569,77.875,0.6610457897186279,0.661732292175293,0.003051865101885206
23,78.79166666666667,0.6358446868260702,78.125,0.6545597529411316,0.6552338290214539,0.0024084592207329007
24,79.0,0.6324990177154541,78.0,0.6542246389389038,0.6548942995071411,0.0018358322123324382
25,79.33333333333333,0.6219500144322713,78.5625,0.6528175234794616,0.6534810137748718,0.0013402578980177568
26,79.41666666666667,0.6217608618736267,77.8125,0.6574260449409485,0.6580992937088013,0.0009271658936820825
27,79.45833333333333,0.6194258054097493,78.5,0.6538978719711304,0.6545635771751404,0.0006010821217699767
28,79.58333333333333,0.6142896143595378,78.1875,0.6541229343414307,0.6547910857200623,0.0003655792243239214
29,79.91666666666667,0.6125975433985392,78.25,0.6536959052085877,0.6543629717826843,0.0002232374203704877
30,79.91666666666667,0.6118015940984091,78.375,0.6535173749923706,0.6541842007637024,0.0001756162365007269
