epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,13.666666666666666,2.0839656321207682,15.5625,2.057158126831055,2.0577263736724856,0.00028940636333117404
2,34.708333333333336,1.9515520207087198,59.1875,1.7115286636352538,1.7202748584747314,0.0005377158663498059
3,64.45833333333333,1.4432644271850585,69.9375,1.1583043289184571,1.1851752471923829,0.0009179529744046907
4,73.125,1.0574265265464782,73.5625,0.9209283304214477,0.9606977891921997,0.0013839888564780086
5,77.16666666666667,0.8763576666514079,76.8125,0.7998982143402099,0.8477905702590942,0.0018792859206383137
6,79.58333333333333,0.7848444581031799,78.4375,0.7251327085494995,0.7802059841156006,0.002343756726464155
7,81.41666666666667,0.7212160833676656,81.0,0.6706253242492676,0.7297457218170166,0.002721053550756571
8,82.91666666666667,0.6702420230706533,81.5625,0.637265202999115,0.7006670045852661,0.002965404265854543
9,83.125,0.6413040685653687,82.125,0.6132319021224976,0.6810451126098633,0.003047213772112996
10,84.58333333333333,0.607456447283427,82.6875,0.5878169012069702,0.6598595714569092,0.0030293036177230794
11,84.66666666666667,0.5939153854052226,83.0625,0.5708501243591309,0.6458038163185119,0.0029777610873013235
12,85.25,0.5821866321563721,83.0625,0.5447198629379273,0.6220811200141907,0.0028937375558058826
13,85.08333333333333,0.5731460865338643,83.6875,0.5474923396110535,0.6271609544754029,0.002779109970085659
14,85.0,0.5720050485928854,84.0625,0.5399623799324036,0.6210268068313599,0.0026364389209892593
15,86.0,0.553547785282135,84.125,0.5204388618469238,0.6046353626251221,0.002468911443996684
16,85.16666666666667,0.5573815695444743,84.4375,0.5138442277908325,0.5988845419883728,0.002280269826113126
17,86.33333333333333,0.5384808818499247,84.0625,0.5221462726593018,0.6085106658935547,0.0020747280093612137
18,86.75,0.5275645550092062,84.0625,0.5171521854400635,0.6043490529060364,0.0018568774582795565
19,87.29166666666667,0.512580003341039,85.125,0.49102168798446655,0.5782274985313416,0.0016315845941921201
20,87.45833333333333,0.5057168587048848,86.125,0.4742680406570435,0.565053391456604,0.001403882087397366
21,87.70833333333333,0.5056636261940003,85.875,0.4852082061767578,0.5746302795410156,0.0011788564356300236
22,87.58333333333333,0.5000649468104045,86.0625,0.4675526022911072,0.5583451271057129,0.0009615343401068796
23,88.25,0.48543814619382225,86.0,0.47725687742233275,0.5695201396942139,0.000756770417327967
24,88.58333333333333,0.48144795258839923,86.4375,0.470550377368927,0.5630127549171448,0.0005691387549659717
25,87.70833333333333,0.4828273558616638,85.4375,0.4787957382202148,0.5717268800735473,0.00040283073430607056
26,88.5,0.4753342858950297,87.0625,0.45382606744766235,0.5468267750740051,0.0002615614017140749
27,89.25,0.4662806550661723,86.75,0.45558340549468995,0.5483163356781006,0.00014848648063954452
28,89.875,0.45853390216827394,86.8125,0.44723886489868164,0.5404589295387268,6.613187796860252e-05
29,89.33333333333333,0.4581545885403951,86.625,0.4465340280532837,0.5396288967132569,1.6337259438032987e-05
30,89.66666666666667,0.45436171293258665,86.5625,0.4465825581550598,0.5397042417526245,2.1495454267904566e-07
