epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,52.666666666666664,1.7965173784891764,71.5625,1.4146209621429444,1.494357442855835,0.002145201960897573
2,72.91666666666667,1.3615890487035116,75.75,1.1331605768203736,1.2593298196792602,0.002145201960897573
3,75.5,1.1993192617098491,77.625,0.9943090629577637,1.148433094024658,0.002145201960897573
4,78.33333333333333,1.1056854271888732,80.0,0.9021647930145263,1.0775154829025269,0.002145201960897573
5,80.41666666666667,1.0405268748601277,80.5,0.8333762645721435,1.0269342184066772,0.002145201960897573
6,81.41666666666667,0.9913107260068258,81.8125,0.7788355994224548,0.9880731344223023,0.002145201960897573
7,82.45833333333333,0.9543461537361145,82.125,0.7365867018699646,0.9596672677993774,0.002145201960897573
8,83.0,0.9284133569399515,82.125,0.7014857292175293,0.937610788345337,0.002145201960897573
9,83.58333333333333,0.9074785486857097,83.125,0.6739134168624878,0.9210989332199097,0.002145201960897573
10,84.20833333333333,0.8887085874875387,82.625,0.6517019200325013,0.9101717805862427,0.002145201960897573
11,84.45833333333333,0.8734590681393941,83.125,0.6314478516578674,0.898317527770996,0.002145201960897573
12,84.625,0.8626013271013896,83.4375,0.6152763843536377,0.8908978986740113,0.002145201960897573
13,85.0,0.8541031257311503,84.0,0.6020431113243103,0.8845275640487671,0.002145201960897573
14,85.04166666666667,0.8471298154195149,84.125,0.592174322605133,0.8809254407882691,0.002145201960897573
15,85.08333333333333,0.8423673804601034,84.25,0.5817802858352661,0.8760527467727661,0.002145201960897573
16,85.375,0.8353390828768412,84.0625,0.575685977935791,0.8742009353637695,0.002145201960897573
17,85.58333333333333,0.8317978024482727,83.9375,0.567934913635254,0.8721885585784912,0.002145201960897573
18,85.70833333333333,0.8299475741386414,84.375,0.5638429856300354,0.8706617212295532,0.002145201960897573
19,86.125,0.8259868772824606,84.375,0.560498583316803,0.8683235168457031,0.002145201960897573
20,86.45833333333333,0.8232132347424825,84.3125,0.5555847549438476,0.8671158361434936,0.002145201960897573
21,85.66666666666667,0.822370970249176,84.8125,0.5548989725112915,0.8659694480895996,0.002145201960897573
22,86.04166666666667,0.81983260790507,84.5625,0.550747709274292,0.8652209281921387,0.002145201960897573
23,86.16666666666667,0.8153341444333394,84.5625,0.5503281044960022,0.8662046241760254,0.002145201960897573
24,86.33333333333333,0.8141935229301452,84.875,0.5465668201446533,0.8632542371749878,0.002145201960897573
25,86.29166666666667,0.8128960617383321,84.6875,0.5480520677566528,0.8653067255020142,0.002145201960897573
26,86.54166666666667,0.8107030018170674,85.3125,0.5460889601707458,0.8610979747772217,0.002145201960897573
27,86.20833333333333,0.8149125186602274,85.0,0.5418478178977967,0.8610311460494995,0.002145201960897573
28,86.625,0.8092482503255208,85.0,0.5402008008956909,0.8589041996002197,0.002145201960897573
29,86.58333333333333,0.809786270459493,84.625,0.5393434953689575,0.8591605138778686,0.002145201960897573
30,86.70833333333333,0.8094334697723389,85.25,0.5394982671737671,0.8577840948104858,0.002145201960897573
